comparison,metric,scenario_a,scenario_b,mean_a,mean_b,gap_b_minus_a,practically_meaningful
Priority vs. Base,fulfillment_rate,base,priority,0.8271552572719874,0.8472484089165139,0.02009315164452652,False
Priority vs. Base,exception_rate,base,priority,0.1728447427280128,0.15275159108348615,-0.020093151644526658,False
Priority vs. Base,avg_waiting_time,base,priority,0.13188644893911025,0.10419881663133618,-0.027687632307774074,False
Priority vs. Base,avg_picker_utilization,base,priority,0.9274098474341195,0.9228791030975497,-0.0045307443365697475,False
Priority vs. Base,peak_queue_length,base,priority,5.0,5.0,0.0,False
Priority vs. Base,pct_time_queue_full,base,priority,0.06837725381414701,0.07142857142857142,0.003051317614424412,False
Priority vs. Base,pct_time_under_pressure,base,priority,0.6017568192325473,0.5835876098012018,-0.01816920943134548,False
Priority vs. Base,avg_fulfillment_time,base,priority,0.8901129953423379,0.8421384242265331,-0.04797457111580483,False
Priority vs. Base,exception_rate_low,base,priority,0.09142800876283536,0.19145437663371637,0.10002636787088101,True
Priority vs. Base,exception_rate_medium,base,priority,0.18058607511812083,0.12051293636002383,-0.060073138758097,True
Priority vs. Base,exception_rate_high,base,priority,0.40290450453751786,0.1406653386916163,-0.26223916584590157,True
Combined vs. Base,fulfillment_rate,base,combined,0.8271552572719874,0.9090068797427225,0.08185162247073519,True
Combined vs. Base,exception_rate,base,combined,0.1728447427280128,0.09099312025727745,-0.08185162247073537,True
Combined vs. Base,avg_waiting_time,base,combined,0.13188644893911025,0.07610234070557018,-0.055784108233540075,False
Combined vs. Base,avg_picker_utilization,base,combined,0.9274098474341195,0.8766065649560795,-0.05080328247804,True
Combined vs. Base,peak_queue_length,base,combined,5.0,5.0,0.0,False
Combined vs. Base,pct_time_queue_full,base,combined,0.06837725381414701,0.036708275543227,-0.031668978270920016,False
Combined vs. Base,pct_time_under_pressure,base,combined,0.6017568192325473,0.43319463707813227,-0.16856218215441504,True
Combined vs. Base,avg_fulfillment_time,base,combined,0.8901129953423379,0.815464196546077,-0.07464879879626085,False
Combined vs. Base,exception_rate_low,base,combined,0.09142800876283536,0.10909953391857312,0.017671525155737763,False
Combined vs. Base,exception_rate_medium,base,combined,0.18058607511812083,0.07469611254702954,-0.10588996257109129,True
Combined vs. Base,exception_rate_high,base,combined,0.40290450453751786,0.08962052589476407,-0.3132839786427538,True
Combined vs. Capacity-alone,fulfillment_rate,capacity,combined,0.893712960309219,0.9090068797427225,0.015293919433503556,False
Combined vs. Capacity-alone,exception_rate,capacity,combined,0.10628703969078111,0.09099312025727745,-0.015293919433503667,False
Combined vs. Capacity-alone,avg_waiting_time,capacity,combined,0.08822976131889368,0.07610234070557018,-0.012127420613323503,False
Combined vs. Capacity-alone,avg_picker_utilization,capacity,combined,0.8764781424975598,0.8766065649560795,0.00012842245851962808,False
Combined vs. Capacity-alone,peak_queue_length,capacity,combined,5.0,5.0,0.0,False
Combined vs. Capacity-alone,pct_time_queue_full,capacity,combined,0.04239482200647249,0.036708275543227,-0.005686546463245491,False
Combined vs. Capacity-alone,pct_time_under_pressure,capacity,combined,0.44308830328247806,0.43319463707813227,-0.009893666204345786,False
Combined vs. Capacity-alone,avg_fulfillment_time,capacity,combined,0.8390242310003866,0.815464196546077,-0.023560034454309542,False
Combined vs. Capacity-alone,exception_rate_low,capacity,combined,0.05985546666796038,0.10909953391857312,0.04924406725061274,False
Combined vs. Capacity-alone,exception_rate_medium,capacity,combined,0.1042712017023796,0.07469611254702954,-0.029575089155350065,False
Combined vs. Capacity-alone,exception_rate_high,capacity,combined,0.2554770685892494,0.08962052589476407,-0.16585654269448533,True
Combined vs. Priority-alone,fulfillment_rate,priority,combined,0.8472484089165139,0.9090068797427225,0.06175847082620867,True
Combined vs. Priority-alone,exception_rate,priority,combined,0.15275159108348615,0.09099312025727745,-0.06175847082620871,True
Combined vs. Priority-alone,avg_waiting_time,priority,combined,0.10419881663133618,0.07610234070557018,-0.028096475925766,False
Combined vs. Priority-alone,avg_picker_utilization,priority,combined,0.9228791030975497,0.8766065649560795,-0.046272538141470254,False
Combined vs. Priority-alone,peak_queue_length,priority,combined,5.0,5.0,0.0,False
Combined vs. Priority-alone,pct_time_queue_full,priority,combined,0.07142857142857142,0.036708275543227,-0.03472029588534443,False
Combined vs. Priority-alone,pct_time_under_pressure,priority,combined,0.5835876098012018,0.43319463707813227,-0.15039297272306956,True
Combined vs. Priority-alone,avg_fulfillment_time,priority,combined,0.8421384242265331,0.815464196546077,-0.02667422768045602,False
Combined vs. Priority-alone,exception_rate_low,priority,combined,0.19145437663371637,0.10909953391857312,-0.08235484271514325,True
Combined vs. Priority-alone,exception_rate_medium,priority,combined,0.12051293636002383,0.07469611254702954,-0.04581682381299429,False
Combined vs. Priority-alone,exception_rate_high,priority,combined,0.1406653386916163,0.08962052589476407,-0.05104481279685222,True
