metric,8_fifo,8_priority,9_fifo,9_priority
fulfillment_rate,0.8271552572719874,0.8472484089165139,0.893712960309219,0.9090068797427225
exception_rate,0.1728447427280128,0.15275159108348615,0.10628703969078111,0.09099312025727745
avg_waiting_time,0.13188644893911025,0.10419881663133618,0.08822976131889368,0.07610234070557018
avg_picker_utilization,0.9274098474341195,0.9228791030975497,0.8764781424975598,0.8766065649560795
peak_queue_length,5.0,5.0,5.0,5.0
pct_time_queue_full,0.06837725381414701,0.07142857142857142,0.04239482200647249,0.036708275543227
pct_time_under_pressure,0.6017568192325473,0.5835876098012018,0.44308830328247806,0.43319463707813227
avg_fulfillment_time,0.8901129953423379,0.8421384242265331,0.8390242310003866,0.815464196546077
exception_rate_low,0.09142800876283536,0.19145437663371637,0.05985546666796038,0.10909953391857312
exception_rate_medium,0.18058607511812083,0.12051293636002383,0.1042712017023796,0.07469611254702954
exception_rate_high,0.40290450453751786,0.1406653386916163,0.2554770685892494,0.08962052589476407
